"filename", "language", "TypeScript JSX", "CSS", "comment", "blank", "total"
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/About.tsx", "TypeScript JSX", 83, 0, 5, 12, 100
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/AllCommentsOnPost.tsx", "TypeScript JSX", 103, 0, 3, 10, 116
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/AllPosts.tsx", "TypeScript JSX", 117, 0, 1, 9, 127
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/App.tsx", "TypeScript JSX", 16, 0, 39, 13, 68
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/Comment.tsx", "TypeScript JSX", 190, 0, 9, 23, 222
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/Dislikes.tsx", "TypeScript JSX", 89, 0, 3, 10, 102
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/Header.tsx", "TypeScript JSX", 63, 0, 0, 8, 71
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/Likes.tsx", "TypeScript JSX", 93, 0, 3, 10, 106
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/LoadingBar.tsx", "TypeScript JSX", 19, 0, 0, 3, 22
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/LoadingScreen.tsx", "TypeScript JSX", 19, 0, 0, 4, 23
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/Login.tsx", "TypeScript JSX", 86, 0, 8, 15, 109
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/MakeComment.tsx", "TypeScript JSX", 115, 0, 9, 11, 135
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/MakeCommentPublic.tsx", "TypeScript JSX", 110, 0, 3, 11, 124
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/MakePost.tsx", "TypeScript JSX", 173, 0, 45, 19, 237
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/MakePostPublic.tsx", "TypeScript JSX", 97, 0, 38, 16, 151
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/People.tsx", "TypeScript JSX", 230, 0, 23, 31, 284
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/PeopleUser.tsx", "TypeScript JSX", 357, 0, 44, 34, 435
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/Post.tsx", "TypeScript JSX", 421, 0, 21, 39, 481
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/Profile.tsx", "TypeScript JSX", 606, 0, 90, 70, 766
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/Public.tsx", "TypeScript JSX", 315, 0, 21, 29, 365
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/Register.tsx", "TypeScript JSX", 181, 0, 15, 12, 208
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/RouteSwitch.tsx", "TypeScript JSX", 47, 0, 10, 7, 64
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/context/AppContextProvider.tsx", "TypeScript JSX", 21, 0, 0, 6, 27
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/context/EmptyProfilePictureContextProvider.tsx", "TypeScript JSX", 18, 0, 4, 6, 28
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/context/LoadingContextProvider.tsx", "TypeScript JSX", 18, 0, 3, 5, 26
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/context/LoggedInUserProfileDataContextProvider.tsx", "TypeScript JSX", 87, 0, 14, 14, 115
