"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/About.tsx", "TypeScript JSX", 6, 0, -1, 5
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/App.tsx", "TypeScript JSX", -1, 0, 0, -1
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/Comment.tsx", "TypeScript JSX", 0, -1, 0, -1
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/Header.tsx", "TypeScript JSX", 14, 0, 0, 14
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/Login.tsx", "TypeScript JSX", 26, -1, 1, 26
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/MakeComment.tsx", "TypeScript JSX", -1, 0, 0, -1
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/MakeCommentPublic.tsx", "TypeScript JSX", 0, -1, 0, -1
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/MakePost.tsx", "TypeScript JSX", 0, -3, -1, -4
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/MakePostPublic.tsx", "TypeScript JSX", -1, 0, 0, -1
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/People.tsx", "TypeScript JSX", 12, -5, 0, 7
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/PeopleUser.tsx", "TypeScript JSX", 11, 0, 0, 11
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/Post.tsx", "TypeScript JSX", 0, -1, 0, -1
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/Profile.tsx", "TypeScript JSX", 19, 0, 0, 19
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/Public.tsx", "TypeScript JSX", 57, 1, 3, 61
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/Register.tsx", "TypeScript JSX", 33, 2, 2, 37
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/context/LoggedInUserProfilePictureContextProvider.tsx", "TypeScript JSX", -5, -25, -9, -39
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/custom-hooks/useDateFunctions.tsx", "TypeScript JSX", 0, -1, 0, -1
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/custom-hooks/useFriendInteractionFunctions.tsx", "TypeScript JSX", -5, -142, -22, -169
"Total", "-", 165, -177, -27, -39
